transaction_id,announcement_date,target_name,target_ticker,acquirer_name,acquirer_ticker,seller_name,transaction_type,deal_status,close_date,deal_value_usd,primary_industry,country_region
SPTRD2216905,2026-06-10,"Social Security Administration, McKinney, TX",,"Government Investment Partners, LLC",,Undisclosed Seller,Acquisition of Asset or Branch,Completed,2026-06-10,,Unclassified,USA
SPTRD2216983,2026-06-10,Smartcontact Communication Center,,Recall Masters Inc.,,,Acquisition of Whole Company (incl. Majority Stake),Completed,2026-06-10,,Integrated Telecommunication Services,USA
SPTRD2216988,2026-06-10,Bitlancer Tech LLC,,Xplor Technologies,,,Acquisition of Whole Company (incl. Majority Stake),Completed,2026-06-10,,Unclassified,USA
SPTRD2216989,2026-06-10,The Baird Machinery Corporation,,Bliss Munitions Equipment,,,Acquisition of Whole Company (incl. Majority Stake),Completed,2026-06-10,,Unclassified,USA
SPTRD2216993,2026-06-10,Kiavi Funding Inc.*,,Investor Group,,,Acquisition of Whole Company (incl. Majority Stake),Announced,,717000000,Digital Lending,USA
SPTRD2216994,2026-06-10,"LIFT Agency, Inc.",,Mile Marker LLC,,,Acquisition of Whole Company (incl. Majority Stake),Completed,2026-06-10,,Unclassified,USA
SPTRD2217009,2026-06-10,"Savant Alaska, LLC",,APA Group,APA,,Acquisition of Whole Company (incl. Majority Stake),Announced,,70000000,Oil and Gas Exploration and Production,USA
SPTRD2217026,2026-06-10,"Sureel, Inc",,Warner Music Group Corp.,WMG,,Acquisition of Whole Company (incl. Majority Stake),Announced,,,Unclassified,USA
SPTRD2217028,2026-06-10,"Fabric8Labs, Inc.*",,TDK Corporation,,Investor Group,Acquisition of Whole Company (incl. Majority Stake),Announced,,400000000,"Technology Hardware, Storage and Peripherals",USA
SPTRD2217051,2026-06-10,SpiritBank,,BancFirst Corporation,BANF,"Spirit BankCorp, Inc.",Acquisition of Whole Company (incl. Majority Stake),Announced,,,Bank,USA
SPTRD2216608,2026-06-09,"Nuvalent, Inc.*",NUVL,GlaxoSmithKline LLC,,Investor Group,Acquisition of Whole Company (incl. Majority Stake),Announced,,11307704433,Biotechnology,USA
SPTRD2216690,2026-06-09,Resurgent Project,,FMS Lithium Corporation,,Undisclosed Seller,Acquisition of Asset or Branch,Announced,,,Diversified Metals and Mining,USA
SPTRD2216707,2026-06-09,"Riverpoint Medical, LLC*",,Novanta Inc.,NOVT,"Arlington Management Employees, LLC",Acquisition of Whole Company (incl. Majority Stake),Announced,,1450000000,Health Care Equipment,USA
SPTRD2216758,2026-06-09,Greenwave Holdings Inc.,,Axon Networks Inc.,,,Acquisition of Whole Company (incl. Majority Stake),Completed,2026-06-09,,Application Software,USA
