Transaction ID,Announcement Date,Completion Date,Target or Issuer,target_ticker,target_match_method,target_matched_name,Buyer,acquirer_ticker,acquirer_match_method,acquirer_matched_name,Seller,Transaction Type,Transaction Value ($M),Deal Value ($M),Status,Primary Industry (MI),Country/Region
SPTRD2218468,2026-06-16,,"Anysphere, Inc.",,no_match,ANYSPHERE,Space Exploration Technologies Corp.,SPCX,normalized_exact,SPACE EXPLORATION TECHNOLOGIES,,Acquisition of Whole Company (incl. Majority Stake),57300.0,60000.0,Announced,Systems Software,USA
SPTRD2218417,2026-06-16,,Huntsman Corporation,HUN,normalized_exact,HUNTSMAN,Olin Corporation,OLN,normalized_exact,OLIN,,Acquisition of Whole Company (incl. Majority Stake),4845.778337,2506.778337,Announced,Diversified Chemicals,USA
SPTRD2218486,2026-06-16,,"Pizza Hut, LLC*",,no_match,PIZZA HUT,"LongRange Capital, L.P.",,no_match,LONGRANGE CAPITAL,"Yum! Brands, Inc.",Acquisition of Whole Company (incl. Majority Stake),1575.0,1575.0,Announced,Restaurants,USA
SPTRD2218127,2026-06-15,,Fin*,,no_match,FIN,"Salesforce, Inc.",CRM,normalized_exact,SALESFORCE,Sprints Capital Management Limited,Acquisition of Whole Company (incl. Majority Stake),3600.0,3600.0,Announced,Application Software,USA
SPTRD2218098,2026-06-15,,Payoneer Global Inc.,PAYO,normalized_exact,PAYONEER GLOBAL,Nuvei Corporation,,no_match,NUVEI,,Acquisition of Whole Company (incl. Majority Stake),2506.496455,2768.592455,Announced,Payment Service Providers and Gateways,USA
SPTRD2218151,2026-06-15,,"Roku, Inc.",ROKU,normalized_exact,ROKU,Fox Corporation,FOXA,normalized_exact,FOX,,Acquisition of Whole Company (incl. Majority Stake),22866.535832,24745.637832,Announced,Movies and Entertainment,USA
SPTRD2217628,2026-06-12,,Navitas Credit Corp./Nlfc Reinsurance Corp.,,no_match,NAVITAS CREDIT REINSURANCE,Wafra Inc.,,no_match,WAFRA,"United Community Banks, Inc.",Acquisition of Whole Company (incl. Majority Stake),1936.0,1936.0,Announced,Unclassified,USA
SPTRD2217419,2026-06-11,,Crowe Advisory LLC,,no_match,CROWE ADVISORY,Investor Group,,no_match,INVESTOR,Crowe LLP,Acquisition of Whole Company (incl. Majority Stake),3000.0,,Announced,Research and Consulting Services,USA
SPTRD2216608,2026-06-09,,"Nuvalent, Inc.*",NUVL,normalized_exact,NUVALENT,GlaxoSmithKline LLC,,no_match,GLAXOSMITHKLINE,Investor Group,Acquisition of Whole Company (incl. Majority Stake),10015.101746,11302.577746,Announced,Biotechnology,USA
SPTRD2216707,2026-06-09,,"Riverpoint Medical, LLC*",,no_match,RIVERPOINT MEDICAL,Novanta Inc.,NOVT,normalized_exact,NOVANTA,"Arlington Management Employees, LLC",Acquisition of Whole Company (incl. Majority Stake),1450.0,1450.0,Announced,Health Care Equipment,USA
SPTRD2216457,2026-06-08,,"Firefly Bio, Inc.*",,no_match,FIREFLY BIO,Johnson & Johnson,JNJ,normalized_exact,JOHNSON AND JOHNSON,Investor Group,Acquisition of Whole Company (incl. Majority Stake),1000.0,1000.0,Announced,Biotechnology,USA
SPTRD2216528,2026-06-08,,Standard BioTools Inc.*,LAB,normalized_exact,STANDARD BIOTOOLS,"Treeline Biosciences, Inc.",,no_match,TREELINE BIOSCIENCES,"Casdin Capital, LLC",Acquisition of Whole Company (incl. Majority Stake),2500.0,2500.0,Announced,Life Sciences Tools and Services,USA
SPTRD2216435,2026-06-08,2026-07-06,"Vega Therapeutics, Inc.",,no_match,VEGA THERAPEUTICS,Incyte Corporation,INCY,normalized_exact,INCYTE,"Star OpCo, Inc.",Acquisition of Whole Company (incl. Majority Stake),2000.0,2000.0,Completed,Biotechnology,USA
SPTRD2216166,2026-06-05,2026-06-05,"ECHO Realty, L.P.",,no_match,ECHO REALTY,Investor Group,,no_match,INVESTOR,,Acquisition of Whole Company (incl. Majority Stake),2000.0,,Completed,Real Estate Operating and Management,USA
SPTRD2215590,2026-06-03,2026-06-03,8.5-million-square-foot portfolio*,,no_match,8 5 MILLION SQUARE FOOT PORTFOLIO,Investor Group,,no_match,INVESTOR,Link Logistics Real Estate LLC,Acquisition of Asset or Branch,1810.0,1810.0,Completed,Unclassified,USA
SPTRD2215634,2026-06-03,,"Hartford Funds Management Group, Inc.",,no_match,HARTFORD FUNDS MANAGEMENT,Wellington Investment Advisors Holdings LLP,,no_match,WELLINGTON INVESTMENT ADVISORS LLP,"The Hartford Insurance Group, Inc.",Acquisition of Whole Company (incl. Majority Stake),1900.0,,Announced,Asset Management,USA
SPTRD2215165,2026-06-01,,MGM Resorts International,MGM,normalized_exact,MGM RESORTS INTERNATIONAL,IAC Inc.,,no_match,IAC,,Acquisition of Whole Company (incl. Majority Stake),39696.117243,9417.247243,Announced,Casinos and Gaming,USA
SPTRD2215131,2026-06-01,,"Sevasemten and Muscular Dystrophy Business of Edgewise Therapeutics, Inc",,no_match,SEVASEMTEN AND MUSCULAR DYSTROPHY BUSINESS OF EDGEWISE THERAPEUTICS,Investor Group,,no_match,INVESTOR,"Edgewise Therapeutics, Inc.",Acquisition of Asset or Branch,2650.0,2650.0,Announced,Unclassified,USA
SPTRD2215018,2026-05-31,,Taylor Morrison Home Corporation,TMHC,normalized_exact,TAYLOR MORRISON HOME,Berkshire Hathaway Inc.,BRK.B,normalized_exact,BERKSHIRE HATHAWAY,,Acquisition of Whole Company (incl. Majority Stake),8724.644223,6854.073223,Announced,Homebuilding Producers,USA
SPTRD2214757,2026-05-29,,Food Ingredients Business of International Flavors & Fragrances Inc.*,,no_match,FOOD INGREDIENTS BUSINESS OF INTERNATIONAL FLAVORS AND FRAGRANCES,CVC Capital Partners plc,,no_match,CVC CAPITAL PARTNERS,International Flavors & Fragrances Inc.,Acquisition of Asset or Branch,3800.0,3800.0,Announced,Unclassified,USA
SPTRD2214470,2026-05-28,,"Caesars Entertainment, Inc.",CZR,normalized_exact,CAESARS ENTERTAINMENT,"Fertitta Entertainment, Inc.",,no_match,FERTITTA ENTERTAINMENT,Recreational Enterprises Inc.,Acquisition of Whole Company (incl. Majority Stake),31702.711186,6394.711186,Announced,Casinos and Gaming,USA
SPTRD2214551,2026-05-28,,"MaintainX, Inc.*",,no_match,MAINTAINX,"Autodesk, Inc.",ADSK,normalized_exact,AUTODESK,Investor Group,Acquisition of Whole Company (incl. Majority Stake),3575.0,3575.0,Announced,Application Software,USA
SPTRD2214219,2026-05-27,,"ArcLight Capital Partners, LLC",,no_match,ARCLIGHT CAPITAL PARTNERS,"DigitalBridge Group, Inc.",DBRG,normalized_exact,DIGITALBRIDGE,,Acquisition of Whole Company (incl. Majority Stake),1050.0,1050.0,Announced,Asset Management,USA
SPTRD2214235,2026-05-27,,NewHold Investment Corp III,NHIC,normalized_exact,NEWHOLD INVESTMENT III,newcleo Ltd,,no_match,NEWCLEO,,Acquisition of Whole Company (incl. Majority Stake),2350.0,,Announced,Asset Management,USA
SPTRD2214187,2026-05-27,,Translational Development Acquisition Corp.,TDAC,normalized_exact,TRANSLATIONAL DEVELOPMENT ACQUISITION,Prologium Holdings Inc,,no_match,PROLOGIUM,Investor Group,Acquisition of Whole Company (incl. Majority Stake),3900.0,,Announced,Asset Management,USA
SPTRD2213817,2026-05-26,,"Curevo, Inc.*",,no_match,CUREVO,Eli Lilly and Company,LLY,normalized_exact,ELI LILLY AND,Investor Group,Acquisition of Whole Company (incl. Majority Stake),1500.0,,Announced,Biotechnology,USA
SPTRD2213832,2026-05-26,,"Vaccine Company, Inc.",,no_match,VACCINE,Eli Lilly and Company,LLY,normalized_exact,ELI LILLY AND,,Acquisition of Whole Company (incl. Majority Stake),1550.0,,Announced,Biotechnology,USA
SPTRD2213165,2026-05-22,,GCDC Purchaser Phase 2 LLC,,no_match,GCDC PURCHASER PHASE 2,Blue Owl Digital Infrastructure Trust,,no_match,BLUE OWL DIGITAL INFRASTRUCTURE TRUST,US GCDC Phase 2 Holdings LP,Acquisition of Whole Company (incl. Majority Stake),1100.0,1100.0,Announced,Unclassified,USA
SPTRD2213174,2026-05-21,2026-05-21,"5,154 Net Undeveloped Acres in the Core of the Delaware Basin",,no_match,5 154 NET UNDEVELOPED ACRES IN CORE OF BASIN,Matador Resources Company,MTDR,normalized_exact,MATADOR RESOURCES,Bureau of Land Management,Acquisition of Asset or Branch,1143.0,1143.0,Completed,Real Estate Development,USA
SPTRD2212672,2026-05-21,,"AvalonBay Communities, Inc.",AVB,normalized_exact,AVALONBAY COMMUNITIES,Equity Residential,EQR,normalized_exact,EQUITY RESIDENTIAL,,Acquisition of Whole Company (incl. Majority Stake),36237.657093,26611.457093,Announced,Multi-Family Residential REIT,USA
SPTRD2212761,2026-05-21,,"Commercial and Defense Aerospace Business of CIRCOR International, Inc.",,no_match,COMMERCIAL AND DEFENSE AEROSPACE BUSINESS OF CIRCOR INTERNATIONAL,Parker-Hannifin Corporation,PH,normalized_exact,PARKER HANNIFIN,KKR & Co. Inc.,Acquisition of Asset or Branch,2550.0,2550.0,Announced,Aerospace and Defense,USA
SPTRD2212743,2026-05-21,,"The H.D. Lee Company, Inc.",,no_match,H D LEE,ABG-Storm LLC,,no_match,ABG STORM,"Kontoor Brands, Inc.",Acquisition of Asset or Branch,1000.0,1000.0,Announced,"Apparel, Accessories and Luxury Goods",USA
SPTRD2212756,2026-05-20,2026-05-20,"16,300 net undeveloped acres of Delaware Basin acreage in Lea and Eddy Counties,",,no_match,16 300 NET UNDEVELOPED ACRES OF BASIN ACREAGE IN LEA AND EDDY COUNTIES,Devon Energy Corporation,DVN,normalized_exact,DEVON ENERGY,Bureau of Land Management,Acquisition of Asset or Branch,2632.45,2632.45,Completed,Oil and Gas Exploration and Production,USA
SPTRD2212114,2026-05-19,,"Empower Semiconductor, Inc.*",,no_match,EMPOWER SEMICONDUCTOR,"Analog Devices, Inc.",ADI,normalized_exact,ANALOG DEVICES,Investor Group,Acquisition of Whole Company (incl. Majority Stake),1500.0,1500.0,Announced,Semiconductors,USA
SPTRD2211808,2026-05-18,,"Dominion Energy, Inc.",D,normalized_exact,DOMINION ENERGY,"NextEra Energy, Inc.",NEE,normalized_exact,NEXTERA ENERGY,,Acquisition of Whole Company (incl. Majority Stake),124339.353585,67373.353585,Announced,Multi-Utilities,USA
SPTRD2211887,2026-05-18,,Sachem Capital Corp.,SACH,normalized_exact,SACHEM CAPITAL,"Industrial Realty Group, LLC",,no_match,INDUSTRIAL REALTY,,Acquisition of Whole Company (incl. Majority Stake),1853.734,1529.0,Announced,Mortgage REIT,USA
SPTRD2213446,2026-05-17,,"LiveRamp Holdings, Inc.",RAMP,normalized_exact,LIVERAMP,"Mms Usa Holdings, Inc.",,no_match,MMS USA,,Acquisition of Whole Company (incl. Majority Stake),2173.91223,2531.39423,Announced,Application Software,USA
SPTRD2213712,2026-05-15,2026-05-15,"MiRus, LLC",,no_match,MIRUS,Boston Scientific Corporation,BSX,normalized_exact,BOSTON SCIENTIFIC,,Acquisition of Minority Stake,1500.0,1500.0,Completed,Health Care Equipment,USA
SPTRD2210870,2026-05-11,,"Emerald Holding, Inc.",EEX,normalized_exact,EMERALD,"Apollo Global Management, Inc.",APO,normalized_exact,APOLLO GLOBAL MANAGEMENT,Onex Corporation,Acquisition of Whole Company (incl. Majority Stake),1416.290186,1004.890186,Announced,Advertising,USA
SPTRD2210291,2026-05-11,,Portfolio of Recognition Music Group,,no_match,PORTFOLIO OF RECOGNITION MUSIC,Sony Music Publishing (US) LLC,,no_match,SONY MUSIC PUBLISHING,Blackstone Inc.,Acquisition of Asset or Branch,4000.0,4000.0,Announced,Movies and Entertainment,USA
SPTRD2209660,2026-05-07,,"Catalyst Pharmaceuticals, Inc.",CPRX,normalized_exact,CATALYST PHARMACEUTICALS,Angelini Pharma S.p.a.,,no_match,ANGELINI PHARMA S A,,Acquisition of Whole Company (incl. Majority Stake),3344.21066,4097.38866,Announced,Biotechnology,USA
SPTRD2209659,2026-05-07,,"PathAI, Inc.*",,no_match,PATHAI,Roche Holding AG,,no_match,ROCHE,Investor Group,Acquisition of Whole Company (incl. Majority Stake),1050.0,1050.0,Announced,Life Sciences Tools and Services,USA
SPTRD2209794,2026-05-07,,Quasaredge Acquisition Corporation,QRED,normalized_exact,QUASAREDGE ACQUISITION,Robseek Intelligence Inc.,,no_match,ROBSEEK INTELLIGENCE,,Acquisition of Whole Company (incl. Majority Stake),1000.0,1000.0,Announced,Asset Management,USA
SPTRD2209591,2026-05-06,2026-06-11,"Brazos Delaware II, LLC",,no_match,BRAZOS II,"Western Midstream Partners, LP",WES,normalized_exact,WESTERN MIDSTREAM PARTNERS,Morgan Stanley Infrastructure Inc.,Acquisition of Whole Company (incl. Majority Stake),1658.062,1658.062,Completed,Oil and Gas Storage and Transportation,USA
SPTRD2209440,2026-05-06,2026-06-17,"Perfuse Therapeutics, Inc.*",,no_match,PERFUSE THERAPEUTICS,Bayer Aktiengesellschaft,,no_match,BAYER AKTIENGESELLSCHAFT,Investor Group,Acquisition of Whole Company (incl. Majority Stake),2450.0,2450.0,Completed,Biotechnology,USA
SPTRD2209918,2026-05-06,,Portfolio of Certain Oil And Natural Gas Properties,,no_match,PORTFOLIO OF CERTAIN OIL AND NATURAL GAS PROPERTIES,Investor Group,,no_match,INVESTOR,"Camino Natural Resources, LLC",Acquisition of Asset or Branch,1175.0,1175.0,Announced,Oil and Gas Exploration and Production,USA
SPTRD2209488,2026-05-06,,"portfolio of instrumentation businesses of Indicor, LLC",,no_match,PORTFOLIO OF INSTRUMENTATION BUSINESSES OF INDICOR,"AMETEK, Inc.",AME,normalized_exact,AMETEK,"Indicor, LLC",Acquisition of Asset or Branch,5000.0,5000.0,Announced,Machinery and Supplies and Components: Industrial,USA
SPTRD2209093,2026-05-04,,"American Megatrends International, LLC*",,no_match,AMERICAN MEGATRENDS INTERNATIONAL,Lattice Semiconductor Corporation,LSCC,normalized_exact,LATTICE SEMICONDUCTOR,"Thomas H. Lee Partners, L.P.",Acquisition of Whole Company (incl. Majority Stake),1650.0,1650.0,Announced,Systems Software,USA
SPTRD2210804,2026-05-04,2026-06-09,"NSI Industries, LLC*",,no_match,NSI INDUSTRIES,Hubbell Incorporated,HUBB,normalized_exact,HUBBELL,"Sentinel Capital Partners, L.L.C.",Acquisition of Whole Company (incl. Majority Stake),3000.0,3000.0,Completed,Electrical Components and Equipment: Light,USA
SPTRD2208852,2026-05-03,2026-06-17,"Candid Therapeutics, Inc.*",,no_match,CANDID THERAPEUTICS,UCB SA,,no_match,UCB,Investor Group,Acquisition of Whole Company (incl. Majority Stake),2200.0,2200.0,Completed,Biotechnology,USA
