ticker,company_name,sector,start_date,end_date,permno,gvkey,cik,source,source_url,source_as_of,gics_sub_industry,point_in_time
MMM,3M,Industrials,,,,,,Wikipedia Russell 1000 Index components,https://en.wikipedia.org/wiki/Russell_1000_Index,2026-04-02,Industrial Conglomerates,false
AOS,A. O. Smith,Industrials,,,,,,Wikipedia Russell 1000 Index components,https://en.wikipedia.org/wiki/Russell_1000_Index,2026-04-02,Building Products,false
AAON,AAON,Industrials,,,,,,Wikipedia Russell 1000 Index components,https://en.wikipedia.org/wiki/Russell_1000_Index,2026-04-02,Building Products,false
ABT,Abbott Laboratories,Health Care,,,,,,Wikipedia Russell 1000 Index components,https://en.wikipedia.org/wiki/Russell_1000_Index,2026-04-02,Health Care Equipment,false
ABBV,AbbVie,Health Care,,,,,,Wikipedia Russell 1000 Index components,https://en.wikipedia.org/wiki/Russell_1000_Index,2026-04-02,Pharmaceuticals,false
ACHC,Acadia Healthcare,Health Care,,,,,,Wikipedia Russell 1000 Index components,https://en.wikipedia.org/wiki/Russell_1000_Index,2026-04-02,Health Care Facilities,false
ACN,Accenture,Information Technology,,,,,,Wikipedia Russell 1000 Index components,https://en.wikipedia.org/wiki/Russell_1000_Index,2026-04-02,IT Consulting & Other Services,false
AYI,Acuity Brands,Industrials,,,,,,Wikipedia Russell 1000 Index components,https://en.wikipedia.org/wiki/Russell_1000_Index,2026-04-02,Electrical Components & Equipment,false
ADBE,Adobe Inc.,Information Technology,,,,,,Wikipedia Russell 1000 Index components,https://en.wikipedia.org/wiki/Russell_1000_Index,2026-04-02,Application Software,false
ADT,ADT Inc.,Consumer Discretionary,,,,,,Wikipedia Russell 1000 Index components,https://en.wikipedia.org/wiki/Russell_1000_Index,2026-04-02,,false
WMS,Advanced Drainage Systems,Industrials,,,,,,Wikipedia Russell 1000 Index components,https://en.wikipedia.org/wiki/Russell_1000_Index,2026-04-02,,false
AMD,Advanced Micro Devices,Information Technology,,,,,,Wikipedia Russell 1000 Index components,https://en.wikipedia.org/wiki/Russell_1000_Index,2026-04-02,Semiconductors,false
ACM,AECOM,Industrials,,,,,,Wikipedia Russell 1000 Index components,https://en.wikipedia.org/wiki/Russell_1000_Index,2026-04-02,Construction & Engineering,false
