date,ticker,open,high,low,close,volume,ret,shares_out,market_cap,permno,gvkey
2026-01-02,ACLS,82.79,86.97,81.23,86.12,173790,,,,,
2026-01-05,ACLS,86.99,91.5,86.45,89.04,219858,0.03390617742684632,,,,
2026-01-06,ACLS,89.31,95.3,89.04,93.9,189365,0.05458221024258769,,,,
2026-01-07,ACLS,93.4,94.6,91.25,92.99,215497,-0.009691160809371824,,,,
2026-01-08,ACLS,92.73,92.87,87.73,89.885,364046,-0.0333906871706634,,,,
2026-01-09,ACLS,89.89,94.65,89.89,93.1,171900,0.035767925682816726,,,,
2026-01-12,ACLS,91.5,97.74,91.5,95.72,202576,0.028141783029001166,,,,
2026-01-13,ACLS,96.37,97.85,95.49,97.04,175239,0.013790221479314635,,,,
2026-01-14,ACLS,96.75,96.75,92.23,93.22,183394,-0.039365210222588654,,,,
2026-01-15,ACLS,96.35,100.62,95.82,97.26,181462,0.04333833941214338,,,,
2026-01-16,ACLS,97.7,99.82,93.04,93.07,184812,-0.043080403043389004,,,,
2026-01-20,ACLS,91.48,92.16,88.07,88.86,191913,-0.04523476952831196,,,,
2026-01-21,ACLS,89.94,94.7,88.33,93.42,174640,0.05131667792032424,,,,
2026-01-22,ACLS,94.55,96.225,93.54,94.96,177807,0.01648469278527065,,,,
2026-01-23,ACLS,94.86,94.86,89.2,90.03,212325,-0.05191659646166802,,,,
2026-01-26,ACLS,90.85,92.05,89.0,89.0,134265,-0.011440630900810822,,,,
2026-01-27,ACLS,90.25,92.55,90.01,91.04,170746,0.022921348314606904,,,,
2026-01-28,ACLS,93.51,94.47,89.22,92.59,153074,0.017025483304042188,,,,
2026-01-29,ACLS,92.0,93.315,88.545,91.14,166423,-0.01566043849227783,,,,
2026-01-30,ACLS,91.04,92.49,87.39,88.05,224616,-0.0339038841342989,,,,
2026-02-02,ACLS,86.47,90.36,85.89,88.81,179766,0.008631459398069419,,,,
2026-02-03,ACLS,90.05,91.0,81.3,84.37,324393,-0.04999437000337792,,,,
2026-02-04,ACLS,84.93,87.33,82.57,85.0,298119,0.007467109162024421,,,,
2026-02-05,ACLS,83.87,83.87,79.36,80.27,355455,-0.055647058823529494,,,,
2026-02-06,ACLS,82.84,87.66,81.94,86.84,255413,0.08184876043353695,,,,
2026-02-09,ACLS,86.18,86.6,83.71,85.47,229066,-0.015776140027637053,,,,
2026-02-10,ACLS,85.6,90.83,85.36,89.74,194819,0.04995904995904987,,,,
