ticker,as_of_date,next_target_announcement_date,label_target_within_6m,next_acquirer_announcement_date,label_acquirer_within_6m
A,2026-01-31,,0,,0
A,2026-02-28,,0,,0
AA,2026-01-31,,0,,0
AA,2026-02-28,,0,,0
AACB,2026-01-31,,0,,0
AACB,2026-02-28,,0,,0
AACBR,2026-01-31,,0,,0
AACBR,2026-02-28,,0,,0
AACBU,2026-01-31,,0,,0
AACBU,2026-02-28,,0,,0
AACG,2026-01-31,,0,,0
AACG,2026-02-28,,0,,0
AACI,2026-01-31,,0,,0
AACI,2026-02-28,,0,,0
AACIU,2026-01-31,,0,,0
AACIU,2026-02-28,,0,,0
AACIW,2026-01-31,,0,,0
AACIW,2026-02-28,,0,,0
AACO,2026-01-31,,0,,0
AACO,2026-02-28,,0,,0
AACOU,2026-01-31,,0,,0
AACOU,2026-02-28,,0,,0
AACOW,2026-01-31,,0,,0
AACOW,2026-02-28,,0,,0
AACP,2026-01-31,,0,,0
AACP,2026-02-28,,0,,0
AACPR,2026-01-31,,0,,0
AACPR,2026-02-28,,0,,0
AACPU,2026-01-31,,0,,0
AACPU,2026-02-28,,0,,0
AACPW,2026-01-31,,0,,0
AACPW,2026-02-28,,0,,0
AADX,2026-01-31,,0,,0
AADX,2026-02-28,,0,,0
AAL,2026-01-31,,0,,0
AAL,2026-02-28,,0,,0
AAME,2026-01-31,,0,,0
AAME,2026-02-28,,0,,0
AAMI,2026-01-31,,0,,0
AAMI,2026-02-28,,0,,0
AAOI,2026-01-31,,0,,0
AAOI,2026-02-28,,0,,0
AAON,2026-01-31,,0,,0
AAON,2026-02-28,,0,,0
AAP,2026-01-31,,0,,0
AAP,2026-02-28,,0,,0
AAPG,2026-01-31,,0,,0
AAPG,2026-02-28,,0,,0
AAPL,2026-01-31,,0,,0
AAPL,2026-02-28,,0,,0
AARD,2026-01-31,,0,,0
AARD,2026-02-28,,0,,0
AAT,2026-01-31,,0,,0
AAT,2026-02-28,,0,,0
AAUC,2026-01-31,,0,,0
AAUC,2026-02-28,,0,,0
AB,2026-01-31,,0,,0
AB,2026-02-28,,0,,0
ABAT,2026-01-31,,0,,0
ABAT,2026-02-28,,0,,0
ABBV,2026-01-31,,0,,0
