index,ticker,first_date,last_date,trading_days,missing_close,missing_volume,avg_dollar_volume,annualized_vol,cumulative_return,has_price_data
count,1003,999,999,999.0,999.0,999.0,999.0,999.0,999.0,1003
unique,1003,,,,,,,,,2
top,MMM,,,,,,,,,True
freq,1,,,,,,,,,999
mean,,2026-01-02 01:06:18.378378,2026-02-26 23:29:43.783783,38.95695695695696,0.0,0.0,128030058.85630329,0.4343767280517148,0.04626154662676702,
min,,2026-01-02 00:00:00,2026-02-06 00:00:00,19.0,0.0,0.0,14962.6648,0.02105286944330337,-0.5904075658635438,
25%,,2026-01-02 00:00:00,2026-02-27 00:00:00,39.0,0.0,0.0,15012396.737564102,0.2901798777364384,-0.06856392531103195,
50%,,2026-01-02 00:00:00,2026-02-27 00:00:00,39.0,0.0,0.0,32748085.026923075,0.3758418495118685,0.04672820847970116,
75%,,2026-01-02 00:00:00,2026-02-27 00:00:00,39.0,0.0,0.0,80763658.80410257,0.5150198977485398,0.14694028397582248,
max,,2026-02-02 00:00:00,2026-02-27 00:00:00,39.0,0.0,0.0,8570288460.003077,10.276064143973116,4.752969121140148,
std,,,,0.8126931089456859,0.0,0.0,500566693.2912036,0.3689384974952289,0.2391493250785603,
