ticker,first_date,last_date,trading_days,missing_close,missing_volume,avg_dollar_volume,annualized_vol,cumulative_return,has_price_data
MMM,2026-01-02,2026-02-27,39.0,0.0,0.0,64954163.09205128,0.3269889469275386,0.01971447994561637,True
AOS,2026-01-02,2026-02-27,39.0,0.0,0.0,10628810.756410256,0.26914784004821435,0.13746157224418076,True
AAON,2026-01-02,2026-02-27,39.0,0.0,0.0,30410650.294871796,0.4412095182351154,0.2792667509481679,True
ABT,2026-01-02,2026-02-27,39.0,0.0,0.0,159283959.71679488,0.3137860277293415,-0.06288244766505535,True
ABBV,2026-01-02,2026-02-27,39.0,0.0,0.0,146551471.33384615,0.27115983616174677,0.009287520711607433,True
ACHC,2026-01-02,2026-02-27,39.0,0.0,0.0,23728232.07615385,1.0368693976658343,0.6557032890132974,True
ACN,2026-01-02,2026-02-27,39.0,0.0,0.0,160586985.9774359,0.49987755970918313,-0.19865539761813178,True
AYI,2026-01-02,2026-02-27,39.0,0.0,0.0,16304875.543846155,0.4207360595840767,-0.19275445812510783,True
ADBE,2026-01-02,2026-02-27,39.0,0.0,0.0,522720316.4151282,0.33682658315003094,-0.2178908002991764,True
ADT,2026-01-02,2026-02-27,39.0,0.0,0.0,5262701.653333333,0.28831519936163696,0.002498438475953435,True
WMS,2026-01-02,2026-02-27,39.0,0.0,0.0,13073395.161923077,0.29900668990466356,0.1455031761952541,True
AMD,2026-01-02,2026-02-27,39.0,0.0,0.0,2270608658.356923,0.7302342417744943,-0.10957741445546265,True
ACM,2026-01-02,2026-02-27,39.0,0.0,0.0,16357707.197307693,0.4670805459178096,0.016182572614108937,True
AES,2026-01-02,2026-02-27,39.0,0.0,0.0,13030188.70051282,0.38469269911954856,0.16115981119352818,True
AMG,2026-01-02,2026-02-27,39.0,0.0,0.0,13910079.57076923,0.44372200506973786,0.060611311339064056,True
AFRM,2026-01-02,2026-02-27,39.0,0.0,0.0,126049695.7528205,0.6677253093587324,-0.36854175097801123,True
AFL,2026-01-02,2026-02-27,39.0,0.0,0.0,32086244.39269231,0.2550954334783468,0.024131361698268572,True
AGCO,2026-01-02,2026-02-27,39.0,0.0,0.0,10695348.563076923,0.3109384387835432,0.2924109252433611,True
A,2026-01-02,2026-02-27,39.0,0.0,0.0,31491485.81769231,0.2810400080875548,-0.12050464037122877,True
ADC,2026-01-02,2026-02-27,39.0,0.0,0.0,9325635.996282052,0.21644735294582296,0.11453133666112114,True
AGNC,2026-01-02,2026-02-27,39.0,0.0,0.0,48987574.74102564,0.2573866345805354,0.02655677655677713,True
AL,2026-01-02,2026-02-27,39.0,0.0,0.0,11926781.774871796,0.02105286944330337,0.010283577438454428,True
APD,2026-01-02,2026-02-27,39.0,0.0,0.0,50246256.23025641,0.2819446116706766,0.09990823125723303,True
ABNB,2026-01-02,2026-02-27,39.0,0.0,0.0,235736620.08307692,0.3455345555085828,0.00782131307813927,True
AKAM,2026-01-02,2026-02-27,39.0,0.0,0.0,119862003.0,0.6013321578512917,0.1561692126909533,True
ALK,2026-01-02,2026-02-27,39.0,0.0,0.0,20874243.74269231,0.5278932643932186,0.0004852955449876628,True
ALB,2026-01-02,2026-02-27,39.0,0.0,0.0,56454109.77282051,0.7049623497380194,0.24399247753709163,True
ACI,2026-01-02,2026-02-27,39.0,0.0,0.0,13813518.105641026,0.3280613213954255,0.03377598152424954,True
AA,2026-01-02,2026-02-27,39.0,0.0,0.0,76846264.53692308,0.6109164953272901,0.09559992931613537,True
ARE,2026-01-02,2026-02-27,39.0,0.0,0.0,15869901.676923076,0.4131470059020247,0.11598938125382996,True
ALGN,2026-01-02,2026-02-27,39.0,0.0,0.0,74365043.88871795,0.5621329322551071,0.21604819585976998,True
ALLE,2026-01-02,2026-02-27,39.0,0.0,0.0,15336293.882820515,0.3601609048849159,0.0016164128069640071,True
ALGM,2026-01-02,2026-02-27,39.0,0.0,0.0,34528759.84512821,0.7041138305729191,0.36603493125232345,True
LNT,2026-01-02,2026-02-27,39.0,0.0,0.0,71856014.6451282,0.16282147561744492,0.10291202927275522,True
ALSN,2026-01-02,2026-02-27,39.0,0.0,0.0,9312495.918846153,0.32433506702686465,0.2667744543249817,True
ALL,2026-01-02,2026-02-27,39.0,0.0,0.0,36843957.22076923,0.3055699490527427,0.05234240863379935,True
ALLY,2026-01-02,2026-02-27,39.0,0.0,0.0,18866758.75076923,0.2954888693683789,-0.13811188811188713,True
ALNY,2026-01-02,2026-02-27,39.0,0.0,0.0,174823215.56025642,0.3981411742856159,-0.16794486215538718,True
GOOGL,2026-01-02,2026-02-27,39.0,0.0,0.0,4375448337.155897,0.25942525602875877,-0.01926372580133162,True
GOOG,2026-01-02,2026-02-27,39.0,0.0,0.0,2741987812.3502564,0.2601786618652589,-0.020242401167586466,True
MO,2026-01-02,2026-02-27,39.0,0.0,0.0,77171685.95923077,0.2658647615375673,0.20401046207497853,True
AMZN,2026-01-02,2026-02-27,39.0,0.0,0.0,3536540767.354359,0.5011421299480688,-0.07596611964002109,True
AMCR,2026-01-02,2026-02-27,39.0,0.0,0.0,26429602.452179488,10.276064143973116,4.752969121140148,True
DOX,2026-01-02,2026-02-27,39.0,0.0,0.0,39812940.46435897,0.3456521918829303,-0.11427145708582775,True
AMTM,2026-01-02,2026-02-27,39.0,0.0,0.0,7733799.881025641,0.6077132780641248,-0.02796747967479707,True
AS,2026-01-02,2026-02-27,39.0,0.0,0.0,21786880.198717948,0.45545787345897626,0.01732871234337563,True
AEE,2026-01-02,2026-02-27,39.0,0.0,0.0,17424061.044615384,0.14717306704258984,0.12263309209874151,True
AAL,2026-01-02,2026-02-27,39.0,0.0,0.0,118188241.95666668,0.4832545162899684,-0.15687540348611873,True
AEP,2026-01-02,2026-02-27,39.0,0.0,0.0,173926246.43384615,0.20103407205065477,0.1585281385281394,True
AXP,2026-01-02,2026-02-27,39.0,0.0,0.0,132674392.72,0.33316291600637193,-0.17173370542302757,True
AFG,2026-01-02,2026-02-27,39.0,0.0,0.0,7177619.329615385,0.1859498036047866,-0.0127662732873145,True
AMH,2026-01-02,2026-02-27,39.0,0.0,0.0,16114448.173717948,0.2632694541185265,-0.05983709273182891,True
AIG,2026-01-02,2026-02-27,39.0,0.0,0.0,46899439.837820515,0.2993440280553627,-0.04733727810650756,True
AMT,2026-01-02,2026-02-27,39.0,0.0,0.0,54531368.686153844,0.2952015847267338,0.094071869993134,True
AWK,2026-01-02,2026-02-27,39.0,0.0,0.0,22331548.28371795,0.2633047999864538,0.05187231430325445,True
COLD,2026-01-02,2026-02-27,39.0,0.0,0.0,6183505.061923076,0.4640428752088453,0.01709726443769144,True
AMP,2026-01-02,2026-02-27,39.0,0.0,0.0,34190232.539487176,0.36614921113115373,-0.055539795752957755,True
AME,2026-01-02,2026-02-27,39.0,0.0,0.0,29026099.30269231,0.21343073621742567,0.14418938307030227,True
AMGN,2026-01-02,2026-02-27,39.0,0.0,0.0,397368087.54205126,0.30362491541793485,0.18234200176823911,True
AMKR,2026-01-02,2026-02-27,39.0,0.0,0.0,84467454.53307693,0.8414913382671796,0.10694444444444495,True
APH,2026-01-02,2026-02-27,39.0,0.0,0.0,178642421.1376923,0.6448966537151198,0.03595939376608581,True
ADI,2026-01-02,2026-02-27,39.0,0.0,0.0,549143710.4689744,0.29440337077940343,0.294126231302444,True
AU,2026-01-02,2026-02-27,39.0,0.0,0.0,41810508.27846154,0.6693547350347598,0.4946864416676393,True
NLY,2026-01-02,2026-02-27,39.0,0.0,0.0,15382967.08,0.22997477550155188,0.01485040401834592,True
AM,2026-01-02,2026-02-27,39.0,0.0,0.0,5741015.946923077,0.21069638042383468,0.2522999721215502,True
AR,2026-01-02,2026-02-27,39.0,0.0,0.0,28079113.156410255,0.4814347649666776,0.07071887784921183,True
AON,2026-01-02,2026-02-27,39.0,0.0,0.0,61011372.77807693,0.32870223804749604,-0.02546975285336628,True
APA,2026-01-02,2026-02-27,39.0,0.0,0.0,63333643.25974359,0.4854077122537431,0.19952681388012783,True
APG,2026-01-02,2026-02-27,39.0,0.0,0.0,14364623.82102564,0.2834078794465507,0.14087759815242507,True
APO,2026-01-02,2026-02-27,39.0,0.0,0.0,75233802.11948718,0.4566187768541764,-0.2832764505119446,True
APPF,2026-01-02,2026-02-27,39.0,0.0,0.0,27736670.918076925,0.6096791183715975,-0.2283717497938086,True
AAPL,2026-01-02,2026-02-27,39.0,0.0,0.0,4832019702.085385,0.2773442713145921,-0.027308288434570116,True
AIT,2026-01-02,2026-02-27,39.0,0.0,0.0,10686472.259102564,0.39612838206294915,0.08844375963020146,True
AMAT,2026-01-02,2026-02-27,39.0,0.0,0.0,1029179429.476923,0.5851595275266941,0.3839132702481196,True
APP,2026-01-02,2026-02-27,39.0,0.0,0.0,827092034.7320513,1.122392202301589,-0.30274016763378386,True
ATR,2026-01-02,2026-02-27,39.0,0.0,0.0,7083126.008205128,0.3084630999687591,0.1729482786751526,True
APTV,2026-01-02,2026-02-27,39.0,0.0,0.0,18645360.44153846,0.4156941927728635,-0.050417489961119055,True
ARMK,2026-01-02,2026-02-27,39.0,0.0,0.0,15477174.043333335,0.3271007329896175,0.1442241968557767,True
ACGL,2026-01-02,2026-02-27,39.0,0.0,0.0,90139245.60897435,0.24092160962415954,0.06701470274877508,True
ADM,2026-01-02,2026-02-27,39.0,0.0,0.0,29058528.531666663,0.2597106076087735,0.16910830722330528,True
ARES,2026-01-02,2026-02-27,39.0,0.0,0.0,54325757.624358974,0.5836969149263516,-0.31738340399757603,True
ANET,2026-01-02,2026-02-27,39.0,0.0,0.0,152009744.6571795,0.6534523481166762,-0.00786516853932484,True
AWI,2026-01-02,2026-02-27,39.0,0.0,0.0,10378501.334358975,0.35921505352730343,-0.11759621739793513,True
ARW,2026-01-02,2026-02-27,39.0,0.0,0.0,9675707.16051282,0.4316779672576153,0.3457183297947646,True
AJG,2026-01-02,2026-02-27,39.0,0.0,0.0,68401860.99705127,0.3932052607719898,-0.11280155642023248,True
ASH,2026-01-02,2026-02-27,39.0,0.0,0.0,4237638.982948719,0.35369909321822224,0.04158316633266623,True
AIZ,2026-01-02,2026-02-27,39.0,0.0,0.0,11123090.643205127,0.2870322030552409,-0.0342797055730798,True
AGO,2026-01-02,2026-02-27,39.0,0.0,0.0,2232664.697179487,0.2490460286297753,-0.028123767119426324,True
ALAB,2026-01-02,2026-02-27,39.0,0.0,0.0,253727039.8325641,1.0384342818041623,-0.34208481349911135,True
ASTS,2026-01-02,2026-02-27,39.0,0.0,0.0,414237777.0048718,1.1283218365208967,-0.04867788461538414,True
T,2026-01-02,2026-02-27,39.0,0.0,0.0,109534205.39974359,0.2765108641301343,0.14052953156822823,True
ATI,2026-01-02,2026-02-27,39.0,0.0,0.0,35705508.16307692,0.2573712277144442,0.37248322147651014,True
TEAM,2026-01-02,2026-02-27,39.0,0.0,0.0,196974895.19358975,0.6856143684386431,-0.5142027114267265,True
ATO,2026-01-02,2026-02-27,39.0,0.0,0.0,23880060.228076924,0.1456916742610137,0.10251490642895078,True
AUR,2026-01-02,2026-02-27,39.0,0.0,0.0,19376560.076923076,0.7350767641759075,0.18734177215189884,True
ADSK,2026-01-02,2026-02-27,39.0,0.0,0.0,218284620.91128206,0.4227065864668485,-0.14430115022655987,True
ADP,2026-01-02,2026-02-27,39.0,0.0,0.0,277991215.8984616,0.3020698964793311,-0.15125751344511118,True
AN,2026-01-02,2026-02-27,39.0,0.0,0.0,8688319.19602564,0.3524690859817672,-0.05516807129710344,True
AZO,2026-01-02,2026-02-27,39.0,0.0,0.0,67434872.70666666,0.2523470588493463,0.13854532252208762,True
AVB,2026-01-02,2026-02-27,39.0,0.0,0.0,19464389.53153846,0.21509332536805703,-0.01917322398315413,True
AVTR,2026-01-02,2026-02-27,39.0,0.0,0.0,12683893.528589744,0.5049162054824557,-0.2150910667823056,True
AVY,2026-01-02,2026-02-27,39.0,0.0,0.0,12519944.732051283,0.1967131088816895,0.0761179307321358,True
CAR,2026-01-02,2026-02-27,39.0,0.0,0.0,30217909.060256407,0.6086268743690733,-0.24029012634534375,True
AVT,2026-01-02,2026-02-27,39.0,0.0,0.0,28644173.065641023,0.42509062031865597,0.3344142683421172,True
AXTA,2026-01-02,2026-02-27,39.0,0.0,0.0,12265650.418461539,0.267812240341303,0.011960635881909099,True
AXS,2026-01-02,2026-02-27,39.0,0.0,0.0,7062430.36948718,0.2478600517636332,0.019084337349399405,True
AXON,2026-01-02,2026-02-27,39.0,0.0,0.0,174811739.4984615,0.7783137599228509,-0.03830798985077677,True
BKR,2026-01-02,2026-02-27,39.0,0.0,0.0,210377684.60589743,0.3345177853893126,0.3838812301166501,True
BALL,2026-01-02,2026-02-27,39.0,0.0,0.0,14401032.235384613,0.28947211052423816,0.2579889419923176,True
BAC,2026-01-02,2026-02-27,39.0,0.0,0.0,206209580.51641026,0.27368166420416135,-0.11109126629755228,True
OZK,2026-01-02,2026-02-27,39.0,0.0,0.0,29228535.990769226,0.32440472827119177,-0.01564482029598191,True
BBWI,2026-01-02,2026-02-27,39.0,0.0,0.0,17009510.239615384,0.4901054005802556,0.09715525554484183,True
BAX,2026-01-02,2026-02-27,39.0,0.0,0.0,20142307.377051283,0.5698926338867076,0.04461538461538517,True
BDX,2026-01-02,2026-02-27,39.0,0.0,0.0,50850958.61282051,0.5228867452712188,-0.09471523858388775,True
BRBR,2026-01-02,2026-02-27,39.0,0.0,0.0,10289858.139487179,0.7153878194305198,-0.2947489459563043,True
BSY,2026-01-02,2026-02-27,39.0,0.0,0.0,47629929.69641026,0.5378899414878635,-0.042726081258189774,True
BRK.B,2026-01-02,2026-02-27,39.0,0.0,0.0,181357612.2725641,0.14109879837720363,0.015305096335626933,True
BBY,2026-01-02,2026-02-27,39.0,0.0,0.0,37090846.1074359,0.35852530193078697,-0.10360295181594448,True
BILL,2026-01-02,2026-02-27,39.0,0.0,0.0,19886232.64205128,0.8904581402079779,-0.1297468354430361,True
BIO,2026-01-02,2026-02-27,39.0,0.0,0.0,9912154.756923076,0.4767964759676107,-0.08844138834315562,True
TECH,2026-01-02,2026-02-27,39.0,0.0,0.0,56221320.65717949,0.4897063691639074,-0.009723386420787294,True
BIIB,2026-01-02,2026-02-27,39.0,0.0,0.0,106013430.33435898,0.3986080506793239,0.07764044943820259,True
BMRN,2026-01-02,2026-02-27,39.0,0.0,0.0,53306214.48410257,0.33391273464816495,-0.02006688963210701,True
BIRK,2026-01-02,2026-02-27,39.0,0.0,0.0,11705450.12948718,0.4480514443031632,-0.0023952095808376095,True
BJ,2026-01-02,2026-02-27,39.0,0.0,0.0,20010707.808846153,0.32340590827051235,0.07469263409857518,True
BLK,2026-01-02,2026-02-27,39.0,0.0,0.0,94413834.46128204,0.3201277102628339,-0.021128841607564453,True
BX,2026-01-02,2026-02-27,39.0,0.0,0.0,96811195.46333334,0.4082427125065133,-0.28537215604714117,True
HRB,2026-01-02,2026-02-27,39.0,0.0,0.0,11642279.36525641,0.5077678802412507,-0.2845794392523361,True
XYZ,2026-01-02,2026-02-27,39.0,0.0,0.0,81762020.3923077,0.9528290628104612,-0.025782688766113893,True
OWL,2026-01-02,2026-02-27,39.0,0.0,0.0,31522029.15974359,0.5001809078792874,-0.307591623036649,True
BNY,2026-01-02,2026-02-06,25.0,0.0,0.0,14962.6648,0.07531257686373657,0.004926108374383897,True
BA,2026-01-02,2026-02-27,39.0,0.0,0.0,192885550.7274359,0.2386610084217643,0.0002643171806173683,True
BOKF,2026-01-02,2026-02-27,39.0,0.0,0.0,16365030.198717948,0.24979214582437476,0.055948769801146714,True
BKNG,2026-01-02,2026-02-27,39.0,0.0,0.0,551596070.5033333,0.4235952202174599,-0.20406977181591723,True
BAH,2026-01-02,2026-02-27,39.0,0.0,0.0,26125603.29871795,0.584900028452776,-0.07180302762561008,True
BWA,2026-01-02,2026-02-27,39.0,0.0,0.0,19509038.27051282,0.6882161980922061,0.23413379073756624,True
SAM,2026-01-02,2026-02-27,39.0,0.0,0.0,3942418.137179487,0.39744482054458724,0.13391382675274155,True
BSX,2026-01-02,2026-02-27,39.0,0.0,0.0,163371619.33820513,0.4853162052535777,-0.19164021164021072,True
BYD,2026-01-02,2026-02-27,39.0,0.0,0.0,7195388.747051282,0.2944232036292148,-0.034458753915765694,True
BFAM,2026-01-02,2026-02-27,39.0,0.0,0.0,10086384.501282051,0.49665354099003345,-0.24960974872853536,True
BHF,2026-01-02,2026-02-27,39.0,0.0,0.0,17289818.71717949,0.09662416305298885,-0.07108564348768698,True
BMY,2026-01-02,2026-02-27,39.0,0.0,0.0,87597603.86692308,0.2577166130969817,0.16503038803179182,True
BRX,2026-01-02,2026-02-27,39.0,0.0,0.0,7294469.254358975,0.19467878019989746,0.16528766596113176,True
AVGO,2026-01-02,2026-02-27,39.0,0.0,0.0,2535269429.5761538,0.46102980275840466,-0.08780207134637441,True
BR,2026-01-02,2026-02-27,39.0,0.0,0.0,29635035.049743593,0.34766705109792356,-0.15650083896421718,True
BAM,2026-01-02,2026-02-27,39.0,0.0,0.0,24082276.078589745,0.42393518539409564,-0.12011225444340456,True
BEPC,2026-01-02,2026-02-27,39.0,0.0,0.0,4847061.950384615,0.352337407522844,0.08785332314744121,True
BRO,2026-01-02,2026-02-27,39.0,0.0,0.0,32948698.092692308,0.29169498746285644,-0.09015458692346578,True
BF.A,2026-01-02,2026-02-27,39.0,0.0,0.0,597765.5598717949,0.34301460040552595,0.11856652687762126,True
BF.B,2026-01-02,2026-02-27,39.0,0.0,0.0,14706090.451153846,0.35044055654022327,0.10516252390057401,True
BRKR,2026-01-02,2026-02-27,39.0,0.0,0.0,41943744.675897434,0.5900934227609119,-0.15361890694239155,True
BC,2026-01-02,2026-02-27,39.0,0.0,0.0,9063553.469999999,0.455545599699112,0.049150085650284,True
BLDR,2026-01-02,2026-02-27,39.0,0.0,0.0,32208915.124102566,0.5500103251546627,-0.015589353612166401,True
BLSH,2026-01-02,2026-02-27,39.0,0.0,0.0,6488435.794102564,0.8003419711328577,-0.2025412960609908,True
BG,2026-01-02,2026-02-27,39.0,0.0,0.0,18404982.85820513,0.28470808307043977,0.30221262817053596,True
